date,causality_score
2025-01-02,20
2025-01-03,20
2025-01-06,20
2025-01-07,20
2025-01-08,40
2025-01-09,40
2025-01-10,60
2025-01-13,0
2025-01-14,40
2025-01-15,40
2025-01-16,40
2025-01-17,40
2025-01-20,40
2025-01-21,0
2025-01-22,40
2025-01-23,40
2025-01-24,0
2025-01-27,40
2025-01-28,40
2025-01-29,40
2025-01-30,20
2025-01-31,20
2025-02-03,20
2025-02-04,0
2025-02-05,60
2025-02-06,0
2025-02-07,60
2025-02-10,60
2025-02-11,60
2025-02-12,60
2025-02-13,20
2025-02-14,20
2025-02-17,20
2025-02-18,20
2025-02-19,20
2025-02-20,60
2025-02-21,60
2025-02-24,60
2025-02-25,60
2025-02-26,60
2025-02-27,60
2025-02-28,60
2025-03-03,60
2025-03-04,40
2025-03-05,40
2025-03-06,40
2025-03-07,40
2025-03-10,40
2025-03-11,40
2025-03-12,60
2025-03-13,60
2025-03-14,40
2025-03-17,20
2025-03-18,20
2025-03-19,20
2025-03-20,20
2025-03-21,40
2025-03-24,40
2025-03-25,40
2025-03-26,40
2025-03-27,20
2025-03-28,60
2025-03-31,60
2025-04-01,20
2025-04-02,80
2025-04-03,80
2025-04-04,80
2025-04-07,60
2025-04-08,60
2025-04-09,60
2025-04-10,60
2025-04-11,60
2025-04-14,20
2025-04-15,60
2025-04-16,60
2025-04-17,60
2025-04-22,20
2025-04-23,40
2025-04-24,40
2025-04-25,40
2025-04-28,60
2025-04-29,60
2025-04-30,40
2025-05-01,40
2025-05-02,40
2025-05-06,60
2025-05-07,60
2025-05-08,60
2025-05-09,60
2025-05-12,60
2025-05-13,60
2025-05-14,60
2025-05-15,60
2025-05-16,40
2025-05-19,40
2025-05-20,40
2025-05-21,40
2025-05-22,40
2025-05-23,40
2025-05-27,60
2025-05-28,60
2025-05-29,40
2025-05-30,60
2025-06-02,60
2025-06-03,40
2025-06-04,40
2025-06-05,40
2025-06-06,40
2025-06-09,40
2025-06-10,60
2025-06-11,60
2025-06-12,80
2025-06-13,80
2025-06-16,60
2025-06-17,60
2025-06-18,60
2025-06-19,60
2025-06-20,80
2025-06-23,80
2025-06-24,80
2025-06-25,40
2025-06-26,40
2025-06-27,40
2025-06-30,40
2025-07-01,60
2025-07-02,60
2025-07-03,20
2025-07-04,0
2025-07-07,40
2025-07-08,20
2025-07-09,60
2025-07-10,60
2025-07-11,60
2025-07-14,40
2025-07-15,20
2025-07-16,60
2025-07-17,60
2025-07-18,40
2025-07-21,60
2025-07-22,60
2025-07-23,40
2025-07-24,40
2025-07-25,0
2025-07-28,60
2025-07-29,60
2025-07-30,40
2025-07-31,60
2025-08-01,60
2025-08-04,40
2025-08-05,40
2025-08-06,40
2025-08-07,40
2025-08-08,20
2025-08-11,20
2025-08-12,20
2025-08-13,60
2025-08-14,60
2025-08-15,40
2025-08-18,60
2025-08-19,60
2025-08-20,40
2025-08-21,40
2025-08-22,60
2025-08-26,60
2025-08-27,40
2025-08-28,0
2025-08-29,40
2025-09-01,40
2025-09-02,40
2025-09-03,0
2025-09-04,60
2025-09-05,60
2025-09-08,60
2025-09-09,60
2025-09-10,20
2025-09-11,20
2025-09-12,0
2025-09-15,60
2025-09-16,60
2025-09-17,0
2025-09-18,40
2025-09-19,40
2025-09-22,40
2025-09-23,60
2025-09-24,60
2025-09-25,40
2025-09-26,60
2025-09-29,60
2025-09-30,60
2025-10-01,60
2025-10-02,40
2025-10-03,40
2025-10-06,40
2025-10-07,20
2025-10-08,20
2025-10-09,60
2025-10-10,60
2025-10-13,40
2025-10-14,40
2025-10-15,0
2025-10-16,60
2025-10-17,20
2025-10-20,20
2025-10-21,60
2025-10-22,80
2025-10-23,80
2025-10-24,20
2025-10-27,60
2025-10-28,60
2025-10-29,40
2025-10-30,20
2025-10-31,20
2025-11-03,40
2025-11-04,60
2025-11-05,60
2025-11-06,20
2025-11-07,40
2025-11-10,40
2025-11-11,60
2025-11-12,0
2025-11-13,0
2025-11-14,60
2025-11-17,60
2025-11-18,60
2025-11-19,40
2025-11-20,0
2025-11-21,60
2025-11-24,60
2025-11-25,40
2025-11-26,40
2025-11-27,20
2025-11-28,0
2025-12-01,40
2025-12-02,40
2025-12-03,0
2025-12-04,20
2025-12-05,40
2025-12-08,40
2025-12-09,40
2025-12-10,40
2025-12-11,40
2025-12-12,20
2025-12-15,60
2025-12-16,60
2025-12-17,40
2025-12-18,40
2025-12-19,40
2025-12-22,0
2025-12-23,60
2025-12-24,20
2025-12-29,0
2025-12-30,40
2025-12-31,40
2026-01-02,40
2026-01-05,40
2026-01-06,40
2026-01-07,60
2026-01-08,60
2026-01-09,60
2026-01-12,60
2026-01-13,60
2026-01-14,60
2026-01-15,60
2026-01-16,40
2026-01-19,0
2026-01-20,40
2026-01-21,40
2026-01-22,60
2026-01-23,60
2026-01-26,60
2026-01-27,60
2026-01-28,20
2026-01-29,40
2026-01-30,80
2026-02-02,80
2026-02-03,60
2026-02-04,40
2026-02-05,40
2026-02-06,40
2026-02-09,40
2026-02-10,20
2026-02-11,60
2026-02-12,60
2026-02-13,40
2026-02-16,40
2026-02-17,60
2026-02-18,60
2026-02-19,40
2026-02-20,40
2026-02-23,40
2026-02-24,0
2026-02-25,40
2026-02-26,0
2026-02-27,80
2026-03-02,80
2026-03-03,80
2026-03-04,80
2026-03-05,80
2026-03-06,80
2026-03-09,60
2026-03-10,60
2026-03-11,100
2026-03-12,100
2026-03-13,60
2026-03-16,60
