post_id,timestamp,post_text,escalation_intent,escalation_reasoning,de_escalation_intent,de_escalation_reasoning,fabrication_risk,fabrication_reasoning,market_mover_probability,market_mover_reasoning,timing_suspicion,timing_suspicion_reasoning
33158,2025-10-01 13:36:00,"As I determined on September 27th, when I activated and called into service the National Guard in Oregon, conditions continue to deteriorate into lawless mayhem. Our GREAT Federal Law Enforcement Officers have not been able to enforce the Laws in Oregon. ANTIFA and the Radical Left Anarchists have been viciously attacking our Federal Law Enforcement Officers, men and women who are simply doing their job, protecting Federal Property, and enforcing Federal Immigration Laws and the Rule of Law. We ",0,"The post focuses on domestic civil unrest and the deployment of the National Guard within the United States, not foreign policy toward Iran.",0,"The post adopts a combative stance regarding internal law enforcement, with no mention of international diplomacy or conflict resolution.",90,"While the President did issue an order regarding the National Guard, local officials and media outlets reported that the president's claims of ""lawless mayhem,"" a ""never-ending disaster,"" and a ""war-ravaged"" city were gross exaggerations or inaccuracies misrepresenting the reality on the ground in Portland.",10,This post concerns domestic law enforcement issues and is unlikely to impact global commodity markets or oil pricing.,20,"The post was made during a weekday early afternoon, which is a common time for political messaging, and does not suggest a specific attempt to manipulate markets during off-hours."
33197,2025-10-04 16:02:00,"After negotiations, Israel has agreed to the initial withdrawal line, which we have shown to, and shared with, Hamas. When Hamas confirms, the Ceasefire will be IMMEDIATELY effective, the Hostages and Prisoner Exchange will begin, and we will create the conditions for the next phase of withdrawal, which will bring us close to the end of this 3,000 YEAR CATASTROPHE. Thank you for your attention to this matter and, STAY TUNED!",0,"The post expresses an intent to secure a ceasefire and hostage release, which is the antithesis of military escalation.",100,"The post explicitly focuses on a ceasefire, hostage release, and withdrawal, aiming to de-escalate the conflict in Gaza.",20,"While the claim that Israel agreed to the withdrawal line was made by the U.S. President and reported as a developing diplomatic effort, the veracity of the agreement and the status of negotiations are subject to interpretation by the parties involved and have not yet resulted in a finalized ceasefire.",85,A potential ceasefire in the Middle East is a significant geopolitical event that typically influences crude oil prices due to reduced supply chain and conflict risk perceptions.,90,"The post was made on a Saturday, a time often used to influence market expectations before the opening of trading on Sunday or Monday, and it is framed as a major diplomatic announcement intended to shape public and market sentiment."
35591,2025-10-05 17:11:00,"President@realDonaldTrump: We are honored to be joined today by service members representing every part of this great Naval tradition — our SURFACE WARRIORS, our U.S. NAVAL AVIATORS, our brave SUBMARINERS, our NAVY SEALS, and our revered UNITED STATES MARINES!",0,"The post is a ceremonial statement commemorating the U.S. Navy's 250th anniversary and does not mention Iran, threats, or military action.",0,The post is commemorative in nature and does not address international relations or conflict resolution.,0,"The post describes a public appearance by the President at a U.S. Navy 250th-anniversary celebration, which is a verified event.",0,The content is purely ceremonial and contains no policy or economic information that would influence crude oil or financial markets.,0,"The post was made during a holiday weekend (Sunday, October 5, 2025) and relates to an ongoing celebratory event, not market-sensitive news."
35578,2025-10-08 00:00:00,My goal is very simple. STOP CRIME IN AMERICA!https://www.history.com/articles/national-guard-federal-troops-deployments,0,"The post pertains specifically to domestic U.S. policy regarding the deployment of the National Guard to combat crime in American cities, not foreign policy or Iran.",0,"The post does not address international relations or conflict reduction, focusing entirely on domestic law enforcement matters.",10,"The claim is an expression of political intent regarding domestic policy, and the included link leads to historical context about National Guard deployments, making it a statement of opinion rather than a falsifiable event.",5,This post is focused on domestic U.S. political and law enforcement issues and lacks any connection to global energy markets or macroeconomic indicators that would influence oil prices.,20,"While posted on a date coinciding with intense political debate over federal troop deployments, it lacks strategic market-manipulation markers and is consistent with the user's routine domestic political messaging."
33275,2025-10-10 10:57:00,"Some very strange things are happening in China! They are becoming very hostile, and sending letters to Countries throughout the World, that they want to impose Export Controls on each and every element of production having to do with Rare Earths, and virtually anything else they can think of, even if it’s not manufactured in China. Nobody has ever seen anything like this but, essentially, it would “clog” the Markets, and make life difficult for virtually every Country in the World, especially f",20,"The post targets China, not Iran. While it expresses significant hostility toward China's trade policies and threatens retaliation, it does not mention or threaten Iran.",0,"The post is highly accusatory and escalatory in tone, describing China's actions as a sinister plot to hold the world captive.",20,"The core claim regarding China's implementation of new, comprehensive, and potentially extraterritorial rare earth export controls is factually supported by reports from October 2025.",85,"Rare earth minerals are critical to global manufacturing, and threats of major trade conflict between the world's two largest economies are significant market-moving events for commodities, technology sectors, and broader indices.",80,"The post was issued during a weekday trading day (October 10, 2025), a common timeframe for such rhetoric intended to influence market sentiment or respond to unfolding geopolitical developments."
33283,2025-10-11 13:35:00,"Chuck Schumer recently said, “Every day gets better” during their Radical Left Shutdown. I DISAGREE! If nothing is done, because of “Leader” Chuck Schumer and the Democrats, our Brave Troops will miss the paychecks they are rightfully due on October 15th. That is why I am using my authority, as Commander in Chief, to direct our Secretary of War, Pete Hegseth, to use all available funds to get our Troops PAID on October 15th. We have identified funds to do this, and Secretary Hegseth will use the",0,"The post focuses on domestic political conflict regarding a government shutdown and military pay, not international threats against Iran.",0,The post is highly confrontational toward political opponents and does not contain language suggesting compromise or de-escalation of the domestic political conflict.,10,"The claims regarding the government shutdown, the directive to pay troops using existing research funds, and the title of Secretary of War for Pete Hegseth are supported by news reports from October 2025.",20,"While this is a domestic political issue, traders often monitor government shutdown status as it can have broad implications for economic stability, but it is not a direct driver of crude oil prices.",85,"The post was made on a Saturday (October 11, 2025) at 1:35 PM, which is outside standard market trading hours, potentially aiming to influence the narrative heading into the following week."
33298,2025-10-13 11:31:00,Happy 250th Birthday to the United States Navy!,0,"The post is a celebratory greeting regarding the U.S. Navy's 250th anniversary and contains no language related to foreign policy, military threats, or Iran.",0,The content is exclusively a commemorative message and does not address diplomatic relations or peace initiatives.,0,"The claim is factually accurate; the United States Navy was established on October 13, 1775, making October 13, 2025, its 250th anniversary.",0,"This post is a standard celebratory message with no actionable information, geopolitical signaling, or economic policy content that would affect commodity markets.",0,The post was made on the actual anniversary date of the U.S. Navy and reflects a standard holiday acknowledgment rather than an attempt to manipulate market sentiment.
33316,2025-10-14 19:28:00,"Congressman Tom Cole is a Tremendous Champion for Oklahoma’s 4th Congressional District!As the Chairman of the POWERFUL House Appropriations Committee, Tom knows the America First Policies required to Create GREAT Jobs, Cut Taxes and Regulations, and Champion our Nation’s Golden Age. He is fighting tirelessly to Advance American Energy DOMINANCE, Keep our now very Secure Border, SECURE, Strengthen our Military/Veterans, and Defend our always under siege Second Amendment.Tom Cole has my Complete ",0,The post is a domestic political endorsement for a U.S. Congressman and makes no mention of Iran or foreign policy threats.,0,The post is unrelated to international diplomacy or peace negotiations.,5,The core factual claim that Tom Cole is the Chairman of the House Appropriations Committee is accurate as of October 2025. The remaining content consists of standard political rhetoric.,0,"The post focuses entirely on domestic political endorsements and contains no information that would impact crude oil supply, demand, or geopolitical risk premia.",0,The post is a routine political endorsement with no apparent connection to financial market hours or specific economic events.
33356,2025-10-19 09:58:00,"President Gustavo Petro, of Colombia, is an illegal drug leader strongly encouraging the massive production of drugs, in big and small fields, all over Colombia. It has become the biggest business in Colombia, by far, and Petro does nothing to stop it, despite large scale payments and subsidies from the USA that are nothing more than a long term rip off of America. AS OF TODAY, THESE PAYMENTS, OR ANY OTHER FORM OF PAYMENT, OR SUBSIDIES, WILL NO LONGER BE MADE TO COLOMBIA. The purpose of this dru",95,"The post explicitly threatens an immediate cessation of all U.S. payments to Colombia and contains a direct, violent ultimatum threatening unilateral U.S. intervention in Colombia's sovereign territory.",0,The post is entirely confrontational and contains no language suggesting willingness to negotiate or reduce tensions.,70,"While the post reflects the real-world diplomatic stance and actions taken by the Trump administration against Colombia in 2025, the characterization of the sitting President of Colombia as an 'illegal drug leader' is a political accusation rather than a factually verifiable criminal verdict.",85,"The threat to end aid and the potential for military intervention in a key regional partner, combined with the context of trade and commodity impacts (drug production/trafficking), would likely be interpreted by market participants as a significant geopolitical risk event impacting regional stability.",80,"The post was made on a Sunday morning (October 19, 2025), which is frequently utilized by political figures to set the news cycle and influence market sentiment ahead of the Monday market open."
33384,2025-10-22 16:57:00,"“Treasury Sanctions Major Russian Oil Companies, Calls on Moscow to Immediately Agree to Ceasefire”",95,The post directly announces the imposition of significant economic sanctions on major Russian oil companies (Rosneft and Lukoil) to increase pressure on the Russian government.,40,"While the post explicitly calls for an immediate ceasefire, this is presented as an ultimatum backed by economic punishment rather than a neutral offer for diplomatic negotiations.",0,"This post is a verified share of an official U.S. Department of the Treasury press release issued on October 22, 2025.",95,"Sanctions on major global oil producers (Rosneft and Lukoil) create immediate concerns regarding supply disruptions, which is a primary driver of crude oil price volatility.",85,"The announcement was made during active trading hours on a Wednesday, designed to have an immediate and high-visibility impact on global energy markets."
